Player,Team,Age,GP,W,L,Mins,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
De'Anthony Melton,MEM,21,52,25,27,19.4,8.1,2.8,6.8,41.9,0.7,2.3,31.6,1.7,2.0,82.1,0.7,3.0,3.7,3.0,1.5,1.3,0.3,1.8,20.3,0,0,2.4
Reggie Bullock,NYK,29,29,9,20,23.6,8.1,3.1,7.7,40.2,1.3,3.8,33.3,0.6,0.7,81.0,0.4,1.9,2.3,1.4,0.7,0.9,0.1,1.9,15.3,0,0,-2.7
Tony Snell,DET,28,59,18,41,27.8,8.0,2.9,6.5,44.5,1.7,4.3,40.2,0.5,0.5,100.0,0.2,1.7,1.9,2.2,0.5,0.5,0.3,1.7,15.4,0,0,-2.9
Draymond Green,GSW,30,43,10,33,28.4,8.0,2.9,7.3,38.9,0.8,3.0,27.9,1.5,1.9,75.9,0.5,5.7,6.2,6.2,2.3,1.4,0.8,2.6,28.9,8,2,-4.5
Ivica Zubac,LAC,23,64,44,20,18.1,8.0,3.2,5.3,60.1,0.0,0.0,0.0,1.7,2.2,75.9,2.6,4.6,7.2,1.1,0.8,0.2,0.9,2.3,20.8,7,0,2.8
Trevor Ariza,POR,34,53,22,31,28.2,8.0,2.7,6.1,43.8,1.5,3.9,37.2,1.2,1.4,83.8,0.6,4.0,4.6,1.7,1.1,1.3,0.3,2.1,19.8,0,0,-0.2
Patrick Beverley,LAC,31,48,37,11,27.1,7.9,2.9,6.8,42.8,1.6,4.1,37.9,0.6,0.9,65.9,1.2,4.2,5.4,3.7,1.3,1.1,0.5,3.1,23.5,4,0,5.5
Chandler Hutchison,CHI,24,28,8,20,18.8,7.8,2.9,6.3,45.7,0.4,1.4,31.6,1.6,2.8,59.0,0.6,3.2,3.9,0.9,1.0,1.0,0.3,1.7,16.5,0,0,-5.1
Terence Davis,TOR,22,64,46,18,17.0,7.7,2.8,6.1,46.3,1.4,3.5,39.6,0.7,0.8,86.5,0.7,2.7,3.4,1.7,1.0,0.5,0.2,1.6,15.4,1,0,3.5
Nerlens Noel,OKC,26,55,35,20,18.4,7.7,3.2,4.6,68.5,0.0,0.1,33.3,1.4,1.8,76.5,1.5,3.4,4.9,1.0,1.0,1.0,1.5,2.6,21.6,3,0,0.6
Kelly Olynyk,MIA,29,59,38,21,18.5,7.7,2.6,5.4,47.6,1.4,3.1,43.2,1.2,1.4,85.4,0.6,3.8,4.4,1.6,1.1,0.6,0.3,2.4,17.2,3,0,1.4
Gary Trent Jr.,POR,21,53,23,30,20.0,7.7,2.8,6.6,42.6,1.5,3.8,38.8,0.6,0.7,83.3,0.4,1.3,1.7,0.9,0.4,0.7,0.2,1.3,13.7,0,0,-2.1
Jahlil Okafor,NOP,24,28,9,19,15.1,7.6,3.1,5.1,61.1,0.0,0.1,50.0,1.3,2.1,63.8,1.6,2.6,4.3,1.3,1.3,0.3,0.7,2.3,16.2,2,0,-4.0
Marc Gasol,TOR,35,36,28,8,27.5,7.6,2.8,6.6,41.9,1.4,3.5,40.2,0.7,1.0,72.2,0.8,5.5,6.3,3.4,1.2,0.8,0.9,2.8,24.3,3,0,6.6
Jordan McLaughlin,MIN,24,30,7,23,19.7,7.6,2.9,5.9,48.9,1.0,2.5,38.2,0.9,1.3,66.7,0.2,1.4,1.6,4.2,1.0,1.1,0.1,1.0,18.6,2,0,-2.3
Omari Spellman,MIN,22,49,11,38,18.1,7.6,2.6,6.0,43.1,0.9,2.2,39.1,1.5,1.9,79.3,1.6,2.9,4.5,1.0,1.1,0.7,0.5,1.3,16.7,1,0,-2.9
