Player,Team,Age,GP,W,L,Mins,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Frank Jackson,NOP,22,51,24,27,12.9,5.6,1.9,5.0,38.5,0.8,2.4,32.5,0.9,1.3,75.0,0.4,1.0,1.4,0.8,0.8,0.3,0.1,1.3,8.7,0,0,-1.6
Damian Jones,ATL,24,55,15,40,16.1,5.6,2.2,3.2,68.0,0.0,0.2,22.2,1.1,1.5,73.8,1.3,2.4,3.7,0.6,0.5,0.5,0.7,2.7,14.1,0,0,-4.7
Jalen McDaniels,CHA,22,16,7,9,18.3,5.6,2.1,4.4,47.1,0.6,1.5,37.5,0.9,1.1,82.4,0.9,3.1,4.1,0.8,0.7,0.5,0.2,2.3,13.0,0,0,-1.4
Mo Bamba,ORL,21,60,28,32,14.5,5.5,2.2,4.7,46.8,0.6,1.7,35.6,0.5,0.8,67.4,1.6,3.4,5.0,0.7,0.7,0.4,1.4,1.9,17.2,2,0,0.7
John Henson,DET,29,40,8,32,15.0,5.5,2.4,4.3,55.6,0.2,0.9,22.2,0.6,1.2,50.0,1.2,2.9,4.1,1.4,0.9,0.6,1.1,2.0,16.5,1,0,-0.5
Dennis Smith Jr.,NYK,22,34,7,27,15.8,5.5,2.1,6.2,34.1,0.5,1.6,29.6,0.8,1.6,50.9,0.6,1.7,2.3,2.9,1.7,0.8,0.2,1.9,14.0,0,0,-5.7
Robin Lopez,MIL,32,60,49,11,14.4,5.5,2.3,4.6,50.2,0.6,1.6,34.4,0.4,0.7,53.5,0.9,1.6,2.4,0.7,0.9,0.2,0.7,1.3,11.1,0,0,0.7
Alex Caruso,LAL,26,58,45,13,17.8,5.4,1.9,4.5,42.3,0.7,1.8,35.5,1.0,1.3,76.3,0.2,1.7,1.9,1.8,0.8,1.0,0.3,1.5,13.6,0,0,3.9
Garrison Mathews,WAS,23,18,8,10,12.6,5.4,1.3,3.1,42.9,1.1,2.6,41.3,1.7,1.9,91.2,0.3,1.0,1.3,0.6,0.4,0.4,0.1,1.8,8.9,0,0,1.9
Solomon Hill,MIA,29,54,28,26,18.4,5.4,1.9,4.6,40.3,1.1,2.9,37.8,0.6,0.8,71.4,0.5,2.4,2.9,1.8,0.9,0.7,0.2,1.4,13.3,0,0,-1.1
Juan Toscano-Anderson,GSW,27,13,3,10,20.9,5.3,2.2,4.8,46.0,0.6,1.8,34.8,0.2,0.4,60.0,0.7,3.3,4.0,2.0,1.2,1.0,0.4,2.3,16.0,0,0,-6.1
Jakob Poeltl,SAS,24,58,25,33,16.6,5.3,2.3,3.8,61.9,0.0,0.0,0.0,0.6,1.3,48.6,1.8,3.6,5.3,1.8,0.8,0.5,1.4,1.7,19.4,2,0,1.0
Wes Iwundu,ORL,25,45,21,24,18.0,5.3,1.7,4.3,39.7,0.5,1.5,31.3,1.4,1.7,81.6,0.5,2.0,2.5,1.0,0.4,0.6,0.2,1.4,11.8,0,0,0.6
David Nwaba,BKN,27,20,8,12,13.4,5.2,1.9,3.6,52.1,0.6,1.4,42.9,0.9,1.4,66.7,0.4,1.9,2.3,0.4,0.4,0.6,0.6,1.6,11.6,0,0,1.8
Nickeil Alexander-Walker,NOP,21,41,18,23,12.2,5.1,1.9,5.5,33.9,1.0,2.9,34.2,0.4,0.7,60.7,0.2,1.8,2.0,1.8,1.0,0.3,0.2,1.1,10.5,0,0,-1.5
Daniel Gafford,CHI,21,43,15,28,14.2,5.1,2.2,3.1,70.1,0.0,0.0,0.0,0.7,1.4,53.3,1.2,1.3,2.5,0.5,0.7,0.3,1.3,2.3,12.9,0,0,-0.7
Wayne Ellington,NYK,32,36,9,27,15.5,5.1,1.7,4.8,35.1,1.4,4.0,35.0,0.3,0.4,84.6,0.1,1.7,1.8,1.2,0.5,0.4,0.1,1.1,10.0,0,0,-0.5
Pat Connaughton,MIL,27,61,51,10,18.3,5.1,2.0,4.3,45.6,0.7,2.2,32.1,0.4,0.6,75.0,0.9,3.3,4.2,1.6,0.8,0.3,0.5,1.0,14.2,0,0,1.4
Kadeem Allen,NYK,27,10,3,7,11.7,5.0,1.9,4.4,43.2,0.5,1.6,31.3,0.7,1.1,63.6,0.2,0.7,0.9,2.1,0.8,0.5,0.2,0.7,10.5,0,0,-2.1
Vince Carter,ATL,43,60,19,41,14.6,5.0,1.8,5.1,35.2,1.0,3.4,30.2,0.4,0.5,79.3,0.3,1.8,2.1,0.8,0.6,0.4,0.4,1.5,10.5,0,0,-2.1
Torrey Craig,DEN,29,50,35,15,17.4,5.0,1.9,4.2,46.2,0.7,2.2,33.0,0.4,0.6,64.5,1.0,2.2,3.1,0.7,0.4,0.4,0.6,2.2,12.3,2,0,-2.8
Cody Martin,CHA,24,48,16,32,18.8,5.0,1.9,4.3,43.0,0.4,1.6,23.4,0.9,1.4,64.6,0.8,2.5,3.3,2.0,0.9,0.8,0.2,1.6,14.0,0,0,-1.4
Sterling Brown,MIL,25,45,36,9,14.8,5.0,1.8,4.8,36.7,0.8,2.5,31.6,0.6,0.8,77.1,0.6,3.0,3.7,1.0,0.8,0.5,0.2,1.0,12.0,1,0,2.1
Chris Clemons,HOU,22,29,18,11,8.7,4.9,1.8,4.3,40.5,1.1,3.2,35.1,0.2,0.2,85.7,0.1,0.7,0.8,0.8,0.6,0.2,0.2,0.7,7.5,0,0,-1.5
Shaquille Harrison,CHI,26,43,14,29,11.3,4.9,1.8,3.8,46.7,0.4,1.0,38.1,0.9,1.2,78.0,0.5,1.5,2.0,1.1,0.4,0.8,0.4,1.3,12.2,1,0,1.4
Quinn Cook,LAL,27,38,30,8,10.8,4.8,2.0,4.6,43.9,0.7,1.7,37.9,0.2,0.2,66.7,0.2,0.9,1.1,1.1,0.7,0.3,0.0,0.6,7.9,0,0,2.2
Cheick Diallo,PHX,23,44,17,27,10.6,4.8,2.0,3.1,65.0,0.0,0.0,50.0,0.7,0.8,86.5,0.6,2.3,2.9,0.5,0.7,0.2,0.3,1.2,9.8,1,0,-1.2
Mario Hezonja,POR,25,47,20,27,16.3,4.8,1.7,4.0,42.9,0.4,1.4,32.8,0.9,1.1,82.4,0.6,2.9,3.4,0.9,0.8,0.6,0.2,2.0,11.8,1,0,-3.2
Matisse Thybulle,PHI,23,57,36,21,19.5,4.7,1.7,4.1,41.0,0.9,2.5,35.2,0.4,0.7,61.0,0.6,0.9,1.5,1.2,0.8,1.4,0.7,2.1,13.9,0,0,0.4
Thon Maker,DET,23,60,20,40,12.9,4.7,1.6,3.2,48.2,0.4,1.1,34.4,1.2,1.8,66.4,0.9,1.9,2.8,0.7,0.8,0.4,0.7,1.7,11.5,2,0,-2.4
Naz Mitrou-Long,IND,26,3,2,1,14.2,4.7,2.0,5.3,37.5,0.7,3.7,18.2,0.0,0.0,0.0,0.0,2.0,2.0,2.3,0.7,0.3,0.3,0.3,11.9,0,0,6.0
Tony Bradley,UTA,22,50,33,17,10.7,4.7,2.1,3.1,66.5,0.0,0.0,100.0,0.5,0.8,65.0,1.8,2.5,4.3,0.3,0.5,0.2,0.5,2.0,12.1,0,0,0.4
Isaiah Hartenstein,HOU,21,23,16,7,11.6,4.7,1.9,2.9,65.7,0.0,0.2,0.0,0.8,1.2,67.9,1.3,2.7,3.9,0.8,0.7,0.4,0.5,1.8,12.6,2,0,1.7
Allen Crabbe,MIN,28,37,5,32,17.6,4.6,1.7,4.8,35.6,1.0,3.2,30.3,0.3,0.4,71.4,0.3,1.8,2.1,0.9,0.5,0.4,0.1,1.3,9.6,0,0,-6.0
Jevon Carter,PHX,24,50,21,29,15.1,4.6,1.6,4.1,40.0,0.9,2.3,39.3,0.4,0.5,84.0,0.5,1.5,2.0,1.3,0.6,0.8,0.3,1.5,11.4,0,0,-1.7
Mike Muscala,OKC,28,41,23,18,12.0,4.6,1.6,3.9,40.3,1.0,2.9,35.8,0.4,0.5,81.8,0.3,2.0,2.3,0.8,0.3,0.2,0.3,1.2,9.7,0,0,-0.4
Patrick McCaw,TOR,24,37,27,10,24.5,4.6,1.8,4.4,41.4,0.6,1.9,32.4,0.4,0.5,72.2,0.5,1.8,2.3,2.1,0.8,1.1,0.1,1.6,13.3,1,0,0.1
Patrick Patterson,LAC,31,51,34,17,11.9,4.6,1.5,3.7,40.4,1.1,2.8,38.7,0.5,0.7,79.4,0.6,1.8,2.4,0.6,0.4,0.1,0.1,0.8,8.5,0,0,1.3
Isaac Bonga,WAS,20,58,21,37,17.7,4.6,1.7,3.2,52.2,0.4,0.9,40.0,0.9,1.1,81.3,1.1,2.1,3.2,1.1,0.7,0.6,0.4,2.3,12.2,0,0,0.4
Edmond Sumner,IND,24,25,11,14,13.8,4.6,1.9,4.4,42.3,0.4,1.5,26.3,0.4,0.6,66.7,0.4,1.1,1.5,1.6,0.8,0.6,0.3,1.4,10.7,0,0,-1.2
Keldon Johnson,SAS,20,9,3,6,10.2,4.6,1.8,3.4,51.6,0.2,0.6,40.0,0.8,1.1,70.0,0.6,1.3,1.9,0.7,0.3,0.6,0.1,1.0,9.5,0,0,2.7
Alfonzo McKinnie,CLE,27,40,11,29,14.8,4.6,1.8,4.3,42.7,0.4,1.6,21.5,0.6,0.8,71.0,0.9,1.9,2.8,0.4,0.7,0.6,0.2,1.8,10.1,1,0,-2.3
Matt Thomas,TOR,25,33,24,9,9.7,4.5,1.6,3.4,48.6,1.1,2.3,46.7,0.2,0.3,70.0,0.2,1.2,1.5,0.5,0.4,0.2,0.0,0.9,7.4,0,0,0.7
Dante Exum,CLE,24,35,10,25,13.9,4.5,1.6,3.4,47.1,0.4,1.2,34.9,0.9,1.2,74.4,0.3,1.6,1.9,1.1,0.9,0.4,0.2,1.1,9.5,0,0,-3.1
Ryan Arcidiacono,CHI,26,58,21,37,16.0,4.5,1.6,3.8,40.9,0.9,2.4,39.1,0.5,0.7,71.1,0.3,1.6,1.9,1.7,0.6,0.5,0.1,1.7,10.2,0,0,-1.4
Darius Bazley,OKC,19,53,32,21,17.2,4.5,1.7,4.3,38.3,0.6,1.9,30.0,0.6,0.9,68.1,0.4,3.3,3.7,0.5,0.8,0.4,0.7,0.8,12.1,0,0,-1.2
Courtney Lee,DAL,34,24,15,9,14.4,4.5,1.7,3.4,48.8,0.9,2.0,44.7,0.3,0.3,85.7,0.3,1.0,1.3,0.5,0.5,0.8,0.3,1.4,9.4,0,0,1.6
Treveon Graham,ATL,26,55,21,34,16.9,4.4,1.6,4.4,36.0,0.6,2.2,27.5,0.7,1.0,64.3,0.9,1.8,2.7,0.8,0.5,0.4,0.1,1.9,10.0,0,0,-2.7
Jacob Evans,MIN,22,29,8,21,14.4,4.4,1.6,4.6,33.6,0.4,1.3,33.3,0.9,1.0,86.2,0.3,1.1,1.4,1.1,0.9,0.4,0.4,1.4,9.2,0,0,-3.5
Nicolas Claxton,BKN,21,15,5,10,12.5,4.4,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.6,0.1,0.5,0.9,10.7,0,0,-4.5
Ante Zizic,CLE,23,22,4,18,10.0,4.4,1.9,3.3,56.9,0.0,0.0,0.0,0.6,0.9,73.7,0.8,2.2,3.0,0.3,0.5,0.3,0.2,1.2,9.6,1,0,0.6
Andre Iguodala,MIA,36,14,7,7,18.5,4.4,1.8,3.6,49.0,0.6,1.7,37.5,0.1,0.6,25.0,0.7,3.1,3.8,2.0,1.2,0.6,1.1,2.0,15.8,0,0,-1.7
Al-Farouq Aminu,ORL,29,18,7,11,21.1,4.3,1.4,4.8,29.1,0.5,2.0,25.0,1.1,1.6,65.5,1.3,3.5,4.8,1.2,0.9,1.0,0.4,1.5,15.3,1,0,-1.9
Raul Neto,PHI,27,49,27,22,11.5,4.3,1.6,3.6,45.1,0.6,1.4,39.4,0.5,0.6,83.9,0.2,0.8,1.1,1.6,0.9,0.4,0.1,0.9,8.8,0,0,0.4
Bruno Fernando,ATL,21,56,18,38,12.7,4.3,1.8,3.6,51.8,0.1,0.7,13.5,0.5,0.9,56.9,1.2,2.3,3.5,0.9,0.8,0.3,0.3,1.9,11.0,1,0,-1.7
Robert Williams III,BOS,22,23,15,8,14.0,4.3,1.8,2.7,67.7,0.0,0.0,0.0,0.6,1.1,56.0,1.5,3.2,4.7,1.0,0.9,0.9,1.2,1.7,16.7,0,0,-0.2
Dzanan Musa,BKN,20,35,17,18,11.5,4.2,1.4,4.0,36.0,0.4,1.9,23.1,0.9,1.3,75.0,0.5,1.5,2.0,0.9,0.8,0.4,0.0,0.7,8.4,0,0,-1.2
Alen Smailagic,GSW,19,14,1,13,9.9,4.2,1.4,2.9,50.0,0.2,0.9,23.1,1.1,1.4,84.2,0.7,1.2,1.9,0.9,0.8,0.2,0.3,1.0,8.6,0,0,-0.6
Yogi Ferrell,SAC,26,44,17,27,11.0,4.2,1.5,3.8,39.6,0.4,1.6,27.5,0.7,0.8,86.5,0.1,1.0,1.1,1.3,0.6,0.3,0.1,0.7,8.2,0,0,-0.6
JaKarr Sampson,IND,27,26,15,11,13.1,4.2,1.8,3.1,59.3,0.1,0.5,15.4,0.4,0.8,55.0,0.6,1.7,2.3,0.3,0.3,0.3,0.3,1.7,9.2,0,0,0.6
Terrance Ferguson,OKC,21,50,30,20,23.4,4.2,1.5,4.0,37.2,0.9,3.1,29.7,0.3,0.4,78.9,0.5,1.0,1.5,0.9,0.6,0.5,0.3,2.9,9.2,0,0,-2.3
Ryan Broekhoff,DAL,29,17,10,7,10.6,4.2,1.3,3.5,37.3,1.2,3.0,39.2,0.4,0.5,87.5,0.3,2.2,2.5,0.6,0.4,0.3,0.2,0.9,9.4,0,0,0.5
Iman Shumpert,BKN,29,13,9,4,18.5,4.2,1.6,4.9,32.8,0.6,2.5,24.2,0.3,0.5,57.1,0.7,1.9,2.6,0.9,0.8,0.9,0.2,1.6,11.1,0,0,-4.0
Rodions Kurucs,BKN,22,39,13,26,12.8,4.2,1.5,3.4,44.8,0.6,1.7,38.5,0.4,0.7,60.7,0.5,2.0,2.5,0.8,0.9,0.4,0.1,1.7,9.0,0,0,-0.7
Troy Daniels,DEN,28,42,32,10,10.9,4.1,1.5,3.8,39.0,1.0,2.7,35.4,0.2,0.4,62.5,0.3,0.8,1.1,0.3,0.2,0.2,0.1,0.7,6.5,0,0,0.0
PJ Dozier,DEN,23,21,15,6,11.1,4.1,1.7,4.3,39.6,0.3,1.3,25.0,0.3,0.5,63.6,0.2,1.2,1.4,1.4,0.5,0.3,0.2,1.3,9.1,0,0,-0.5
Marko Guduric,MEM,25,42,18,24,11.3,4.0,1.5,3.7,39.6,0.6,1.9,30.9,0.5,0.6,92.0,0.3,1.4,1.7,1.1,0.9,0.3,0.2,0.8,8.3,0,0,-0.9
Chris Chiozza,BKN,24,21,9,12,11.8,4.0,1.5,3.8,40.5,0.9,2.0,43.9,0.1,0.1,100.0,0.3,1.4,1.7,2.3,0.8,0.7,0.1,1.1,11.0,0,0,3.0
Elie Okobo,PHX,22,54,22,32,13.1,4.0,1.3,3.4,39.8,0.5,1.3,35.2,0.9,1.2,68.7,0.3,1.3,1.6,2.1,0.7,0.4,0.1,1.0,9.9,0,0,-1.2
Cristiano Felicio,CHI,27,22,6,16,17.5,3.9,1.5,2.5,63.0,0.0,0.1,0.0,0.8,1.0,78.3,2.5,2.1,4.6,0.7,0.8,0.5,0.1,1.5,11.4,0,0,-2.6
Gary Payton II,WAS,27,29,13,16,14.9,3.9,1.7,4.0,41.4,0.4,1.6,28.3,0.1,0.3,50.0,0.9,1.9,2.8,1.7,0.7,1.1,0.2,1.9,13.1,1,0,-4.8
Noah Vonleh,DEN,24,33,13,20,11.0,3.8,1.5,2.7,56.2,0.1,0.5,20.0,0.7,0.9,80.0,1.1,2.6,3.7,0.8,0.6,0.3,0.2,1.2,10.5,0,0,-1.6
Khem Birch,ORL,27,40,16,24,19.4,3.8,1.4,2.9,48.7,0.0,0.0,0.0,1.0,1.7,61.2,1.8,2.8,4.5,0.9,0.6,0.4,0.5,1.8,12.7,0,0,-2.4
Jaylen Nowell,MIN,20,15,2,13,10.1,3.8,1.3,3.5,35.8,0.2,1.7,11.5,1.1,1.1,94.1,0.2,0.7,0.9,1.3,0.2,0.2,0.1,0.7,7.3,0,0,0.7
Kenrich Williams,NOP,25,35,12,23,22.3,3.8,1.4,4.1,34.3,0.7,2.7,26.0,0.3,0.7,37.5,1.4,3.7,5.1,1.5,0.6,0.7,0.6,2.3,15.5,0,0,-1.4
Jerome Robinson,WAS,23,55,35,20,13.6,3.7,1.4,3.9,34.7,0.6,1.9,29.8,0.4,0.5,69.0,0.2,1.8,1.9,1.2,0.6,0.4,0.3,1.5,9.1,0,0,0.5
Drew Eubanks,SAS,23,14,8,6,9.3,3.6,1.5,2.0,75.0,0.1,0.1,100.0,0.6,0.8,72.7,0.6,1.9,2.5,0.4,0.7,0.1,0.4,1.5,8.2,0,0,-3.1
Theo Pinson,BKN,24,33,15,18,11.1,3.6,1.4,4.7,29.0,0.5,2.4,18.8,0.5,0.5,93.8,0.3,1.3,1.6,1.7,1.0,0.5,0.1,1.1,9.1,0,0,-1.2
Tim Frazier,DET,29,27,9,18,13.1,3.6,1.3,3.5,36.2,0.4,1.1,33.3,0.7,0.9,79.2,0.3,0.9,1.2,3.4,1.3,0.5,0.1,1.6,10.9,0,0,-2.0
Nicolas Batum,CHA,31,22,6,16,23.0,3.6,1.3,3.7,34.6,0.6,2.2,28.6,0.4,0.5,90.0,1.1,3.4,4.5,3.0,1.0,0.8,0.4,1.9,16.0,0,0,-2.2
Nassir Little,POR,20,48,22,26,11.9,3.6,1.4,3.1,43.0,0.3,1.2,23.7,0.6,0.9,63.6,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,8.3,1,0,-1.1
Grant Williams,BOS,21,62,43,19,15.6,3.5,1.3,3.1,41.7,0.3,1.4,24.7,0.6,0.8,72.5,0.9,1.7,2.7,1.0,0.7,0.5,0.5,2.4,10.4,0,0,2.4
Anthony Tolliver,MEM,34,47,22,25,15.6,3.5,1.1,3.3,34.8,0.8,2.6,32.2,0.4,0.5,72.0,0.6,2.2,2.8,0.7,0.6,0.3,0.2,1.4,9.0,1,0,-2.3
Mfiondu Kabengele,LAC,22,12,9,3,5.4,3.5,1.2,2.7,43.8,0.8,1.7,45.0,0.4,0.4,100.0,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,5.7,0,0,-0.1
Ty Jerome,PHX,22,28,13,15,11.2,3.5,1.3,3.8,34.9,0.5,1.7,27.7,0.4,0.5,78.6,0.2,1.3,1.5,1.5,0.6,0.5,0.1,1.0,8.7,0,0,-3.8
DeMarre Carroll,HOU,33,21,10,11,11.0,3.5,1.0,2.6,38.9,0.3,1.3,25.9,1.1,1.7,66.7,0.5,1.7,2.2,0.9,0.8,0.2,0.2,1.3,7.8,0,0,1.7
John Konchar,MEM,24,15,7,8,11.1,3.4,1.5,2.3,65.7,0.3,0.6,44.4,0.1,0.1,50.0,1.2,1.9,3.1,1.4,0.4,0.5,0.2,0.5,10.8,0,0,2.1
Kevon Looney,GSW,24,20,6,14,13.1,3.4,1.5,4.0,36.7,0.1,0.7,7.1,0.5,0.6,75.0,1.4,1.9,3.3,1.0,0.6,0.6,0.3,1.7,11.0,0,0,-5.0
Kyle O'Quinn,PHI,30,26,17,9,9.9,3.3,1.3,2.8,48.6,0.3,0.9,30.4,0.4,0.7,52.6,1.2,2.5,3.8,1.3,0.7,0.2,0.8,1.3,12.3,1,0,-1.8
Tremont Waters,BOS,22,10,8,2,8.9,3.3,1.2,3.5,34.3,0.3,1.7,17.6,0.6,0.6,100.0,0.0,0.9,0.9,1.2,1.0,0.5,0.2,1.1,7.3,0,0,2.7
Evan Turner,MIN,31,19,3,16,13.2,3.3,1.3,3.5,37.3,0.0,0.3,0.0,0.6,0.7,85.7,0.4,1.6,2.0,2.0,1.4,0.5,0.4,1.1,10.0,0,0,-3.4
D.J. Wilson,MIL,24,31,27,4,9.0,3.2,1.3,3.3,39.6,0.5,1.8,25.5,0.2,0.3,66.7,0.3,1.9,2.2,0.7,0.5,0.1,0.2,0.8,7.1,0,0,-1.2
Jordan Bell,MEM,25,29,8,21,8.8,3.2,1.2,2.3,52.2,0.1,0.4,33.3,0.7,1.1,61.3,1.0,1.8,2.8,0.6,0.7,0.1,0.3,0.7,8.0,0,0,-0.3
Gary Clark,ORL,25,35,20,15,12.1,3.2,1.1,2.9,37.6,0.8,2.5,32.6,0.2,0.3,88.9,0.8,1.7,2.4,0.4,0.1,0.1,0.4,0.9,8.2,0,0,-0.2
Johnathan Williams,WAS,24,11,6,5,12.3,3.2,1.5,2.3,64.0,0.0,0.2,0.0,0.3,0.5,60.0,1.4,2.5,3.9,0.5,0.4,0.1,0.5,1.0,10.2,0,0,-4.3
Rodney McGruder,LAC,28,50,33,17,15.0,3.2,1.2,3.1,39.1,0.4,1.6,27.8,0.3,0.6,53.6,0.5,2.0,2.6,0.6,0.4,0.5,0.2,1.3,8.6,0,0,0.0
Tacko Fall,BOS,24,6,5,1,4.0,3.2,1.5,2.0,75.0,0.0,0.0,0.0,0.2,0.5,33.3,0.0,1.8,1.8,0.0,0.5,0.0,0.3,0.8,5.9,0,0,1.2
Semi Ojeleye,BOS,25,61,41,20,14.6,3.1,1.1,2.6,40.9,0.6,1.6,36.7,0.4,0.5,89.3,0.4,1.6,2.0,0.5,0.2,0.3,0.1,1.0,7.3,0,0,-0.1
Matthew Dellavedova,CLE,29,57,17,40,14.4,3.1,1.1,3.1,35.4,0.4,1.6,23.1,0.6,0.6,86.5,0.3,1.0,1.3,3.2,1.0,0.4,0.0,1.4,9.5,1,0,-0.2
Goga Bitadze,IND,20,49,29,20,8.4,3.1,1.2,2.6,47.3,0.1,0.7,16.7,0.5,0.7,72.7,0.4,1.5,2.0,0.4,0.5,0.1,0.7,1.2,7.9,1,0,-0.4
Admiral Schofield,WAS,23,27,9,18,10.8,3.1,1.1,2.8,40.0,0.5,1.7,29.8,0.3,0.5,69.2,0.2,1.0,1.3,0.5,0.3,0.3,0.1,1.5,6.3,0,0,-1.3
Carsen Edwards,BOS,22,35,24,11,9.0,3.0,1.1,3.2,32.7,0.6,1.9,30.9,0.3,0.4,84.6,0.2,1.1,1.2,0.6,0.4,0.3,0.1,0.9,6.1,0,0,-1.3
Chris Silva,MIA,23,41,27,14,7.5,2.9,1.0,1.7,62.3,0.0,0.0,0.0,0.8,1.2,69.4,1.3,1.3,2.7,0.5,0.8,0.2,0.4,2.0,8.1,0,0,-0.7
Jaylen Hoard,POR,21,13,7,6,7.9,2.9,1.2,2.5,46.9,0.0,0.2,0.0,0.6,1.0,61.5,1.1,1.4,2.5,0.3,0.3,0.4,0.0,0.9,7.2,0,0,0.8
Adam Mokoka,CHI,21,11,3,8,10.2,2.9,1.1,2.5,42.9,0.5,1.4,40.0,0.2,0.4,50.0,0.6,0.3,0.9,0.4,0.2,0.4,0.0,1.5,5.5,0,0,4.5
Javonte Green,BOS,26,44,30,14,9.4,2.9,1.1,2.2,50.0,0.1,0.5,26.1,0.5,0.8,63.9,0.4,1.4,1.8,0.5,0.4,0.5,0.2,0.8,7.5,0,0,-0.1
TJ Leaf,IND,23,25,14,11,7.7,2.9,1.2,2.8,43.5,0.2,0.6,35.7,0.3,0.5,58.3,0.8,1.7,2.6,0.2,0.3,0.3,0.1,0.7,7.4,1,0,-0.1
Chimezie Metu,SAS,23,16,7,9,4.5,2.9,1.3,2.2,57.1,0.0,0.1,0.0,0.4,0.5,75.0,0.6,1.0,1.6,0.4,0.3,0.1,0.3,0.3,6.0,0,0,0.8
Tyrone Wallace,ATL,25,14,3,11,11.5,2.9,1.0,3.1,31.8,0.1,1.1,6.7,0.8,1.2,64.7,0.2,1.4,1.6,0.9,0.7,0.5,0.1,1.4,7.1,0,0,-2.3
Chandler Parsons,ATL,31,5,0,5,10.8,2.8,1.0,3.6,27.8,0.8,2.8,28.6,0.0,0.0,0.0,0.2,1.2,1.4,0.6,0.6,0.8,0.2,0.6,7.8,0,0,-8.0
Deonte Burton,OKC,26,34,20,14,8.4,2.8,1.1,3.1,37.1,0.3,1.4,21.7,0.2,0.4,50.0,0.2,1.2,1.4,0.3,0.4,0.1,0.3,0.8,5.9,0,0,-2.3
Bruno Caboclo,HOU,24,27,10,17,8.1,2.7,1.2,2.9,41.6,0.1,1.0,14.3,0.1,0.2,80.0,0.8,1.1,2.0,0.4,0.3,0.4,0.6,0.9,8.5,1,0,-0.6
Romeo Langford,BOS,20,27,19,8,11.0,2.6,0.9,2.4,37.5,0.2,0.9,21.7,0.6,0.9,69.6,0.5,0.7,1.2,0.2,0.3,0.3,0.2,1.1,5.5,0,0,1.8
Jalen Lecque,PHX,19,4,1,3,6.6,2.5,1.0,2.5,40.0,0.0,1.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.5,3.0,0,0,-5.5
Justin James,SAC,23,34,13,21,6.4,2.5,1.0,2.3,42.3,0.3,0.8,34.6,0.3,0.6,47.6,0.2,0.7,0.9,0.5,0.2,0.2,0.3,0.5,5.4,0,0,-0.6
Max Strus,CHI,24,2,0,2,3.1,2.5,1.0,1.5,66.7,0.0,0.5,0.0,0.5,0.5,100.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,3.1,0,0,7.5
Ryan Anderson,HOU,31,2,1,1,7.0,2.5,1.0,3.5,28.6,0.5,2.5,20.0,0.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.5,0.0,0.5,9.2,0,0,3.5
Thanasis Antetokounmpo,MIL,27,18,15,3,5.2,2.5,1.1,2.0,52.8,0.0,0.4,0.0,0.4,0.8,46.7,0.6,0.4,1.1,0.5,0.6,0.3,0.1,0.7,5.2,0,0,-1.3
Michael Kidd-Gilchrist,DAL,26,21,10,11,11.0,2.5,0.9,2.9,31.7,0.2,1.0,25.0,0.4,0.5,81.8,0.6,2.0,2.6,0.6,0.6,0.1,0.2,1.5,6.9,0,0,0.1
Caleb Swanigan,POR,23,27,12,15,10.7,2.4,1.0,1.7,59.6,0.0,0.1,0.0,0.3,0.6,52.9,1.0,2.7,3.7,1.1,1.4,0.1,0.3,2.3,8.3,0,0,-1.6
Frank Mason,MIL,26,6,5,1,8.8,2.3,0.8,3.2,26.3,0.3,1.7,20.0,0.3,0.7,50.0,0.5,0.8,1.3,1.8,1.0,0.3,0.0,0.7,6.7,0,0,-1.3
Shamorie Ponds,TOR,21,4,4,0,2.6,2.3,0.8,1.3,60.0,0.3,0.5,50.0,0.5,0.5,100.0,0.0,0.3,0.3,0.5,0.0,0.0,0.3,0.5,4.1,0,0,0.0
Thabo Sefolosha,HOU,36,41,27,14,10.6,2.2,0.9,2.2,40.7,0.4,1.3,27.8,0.1,0.2,37.5,0.5,1.8,2.3,0.6,0.4,0.6,0.3,1.0,8.1,0,0,0.9
Amir Coffey,LAC,22,13,7,6,7.5,2.2,1.0,2.5,39.4,0.1,0.5,14.3,0.1,0.2,33.3,0.3,0.8,1.1,0.7,0.2,0.1,0.1,0.9,4.7,0,0,-0.6
Johnathan Motley,LAC,25,13,8,5,3.2,2.2,0.8,1.2,73.3,0.1,0.1,100.0,0.4,0.5,71.4,0.2,0.5,0.8,0.6,0.4,0.2,0.0,0.5,4.3,0,0,0.2
Wenyen Gabriel,POR,23,28,9,19,7.5,2.1,0.7,1.6,43.5,0.2,0.7,30.0,0.5,0.7,70.0,0.6,1.0,1.6,0.3,0.6,0.4,0.2,1.3,5.7,0,0,-1.6
